index,age_range,bmi_grade,gender,ability,sports_step,recommend_rank,ex_recommend,video_url,space
183,1,0,0,0,1,4,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
184,1,0,0,0,1,5,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
185,1,0,0,0,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
186,1,0,0,0,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
187,1,0,0,0,0,3,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
188,1,0,0,0,0,4,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
189,1,0,0,0,0,5,다리 벌려 옆으로 상체 숙이기,https://www.youtube.com/watch?v=4Sh-l6LW2io,0
190,1,0,0,0,2,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
191,1,0,0,0,2,2,복식 호흡,https://www.youtube.com/watch?v=mZTd06yXVT0,0
192,1,0,0,0,2,3,온 몸 뻗어주기,https://www.youtube.com/watch?v=baeEwhAaAcw,0
193,1,0,0,0,2,4,모관운동,https://www.youtube.com/watch?v=HaMZOnbpNpg,0
194,1,0,0,0,2,5,짝 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=nzn5cX71hUM,0
195,1,0,0,1,1,1,맨몸운동 루틴프로그램,https://www.youtube.com/watch?v=8rYcSq4lF20,0
196,1,0,0,1,1,2,줄넘기,https://www.youtube.com/watch?v=7SPFH6HcK-g,1
197,1,0,0,1,1,3,조깅,https://www.youtube.com/watch?v=RpSDn8NCm04,1
198,1,0,0,1,1,4,버피 테스트,https://www.youtube.com/watch?v=pTtqoa8qCKw,0
199,1,0,0,1,1,5,자전거타기,https://www.youtube.com/watch?v=o9w8lVE5lWs,1
200,1,0,0,1,0,1,동적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=wKxfDV7j44I,0
201,1,0,0,1,0,2,목 돌리기,https://www.youtube.com/watch?v=-UCNGXY5n-k,0
202,1,0,0,1,0,3,정적 스트레칭 루틴프로그램,https://www.youtube.com/watch?v=AjP1ntmtMQk,0
203,1,0,0,1,0,4,양발 벌려 무릎 밀어내기,https://www.youtube.com/watch?v=UdZGUv4wlXY,0
